CP5_alpha_power,CP5_delta_power,CP5_spectral_edge,CP5_spectral_entropy,CP6_alpha_power,CP6_delta_power,CP6_spectral_edge,CP6_spectral_entropy,F7_alpha_power,F7_delta_power,F7_spectral_edge,F7_spectral_entropy,F8_alpha_power,F8_delta_power,F8_spectral_edge,F8_spectral_entropy,FC5_alpha_power,FC5_delta_power,FC5_spectral_edge,FC5_spectral_entropy,FC6_alpha_power,FC6_delta_power,FC6_spectral_edge,FC6_spectral_entropy,P7_alpha_power,P7_delta_power,P7_spectral_edge,P7_spectral_entropy,P8_alpha_power,P8_delta_power,P8_spectral_edge,P8_spectral_entropy,T7_alpha_power,T7_delta_power,T7_spectral_edge,T7_spectral_entropy,T8_alpha_power,T8_delta_power,T8_spectral_edge,T8_spectral_entropy,label
1.9804253963225113e-11,1.7869210643010344e-11,1.0686308496657301e-11,7.942743922383709e-12,3.524948130393503e-12,3.457536700017079e-12,2.1047364634119958e-11,2.2473923392639822e-11,1.4642188192238507e-11,1.3312557109679519e-11,1.6105966274236832e-10,4.007647185212022e-11,6.126296366329082e-11,5.0392957437807545e-11,3.017100263311642e-11,2.7790683474728555e-11,1.734995959766664e-10,4.3537490321425795e-11,4.97191762221943e-10,2.2823645655310455e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3899074606128215e-08,5.505902379782169e-09,7.33116189429055e-09,6.049400439486286e-09,3.195241028632601e-09,3.0176527197545146e-09,1.4882143511233071e-08,6.362690266559685e-09,3.43859712081215e-08,1.7787527314637924e-08,1.0
2.1765699716905254e-11,2.1409552510895174e-11,1.5474558403562535e-11,1.4894210643009185e-11,6.479981393414411e-12,9.397407802006589e-12,2.276111572932846e-11,2.8684741397086885e-11,1.876979305352307e-11,1.9816745602925506e-11,4.725435542219458e-10,4.83428286134286e-10,3.5933456828246976e-10,4.859655510694902e-10,1.9317703206492935e-10,5.696284173380862e-10,4.2549639343579293e-10,3.458067555075712e-10,2.9370892825444087e-10,3.406566029722409e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.444031687893328e-08,3.603977405356895e-08,2.7749140956122828e-08,3.581292434166569e-08,1.5241530438937834e-08,3.9197067245127055e-08,3.175217856941229e-08,2.9149800032717884e-08,2.3032571564147105e-08,2.7233346602611622e-08,1.0
7.766428567049662e-11,6.029945045661814e-10,8.140103162702876e-11,8.030323788622474e-11,6.163702210737927e-11,6.122588149967357e-11,7.981575210478416e-11,7.934560393514869e-10,6.54310335801064e-11,6.823158624340701e-11,1.1472234655585858e-08,1.9505643058937447e-08,1.0494912760129685e-08,8.4225734555984e-09,9.294647986109102e-09,9.357273871089834e-09,1.1149712062598304e-08,2.2362496710663764e-08,9.430721673815494e-09,9.339230517247398e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.553693844332472e-07,1.4089435753511523e-06,7.065799984399329e-07,5.865696577027205e-07,6.372898168325901e-07,6.386881671824291e-07,7.389699586929571e-07,1.6281450809673584e-06,6.4298525240161e-07,6.404741495868821e-07,1.0
7.375364548507937e-11,9.202703884848984e-10,8.613304770722515e-11,9.21078265854575e-11,6.102131555408053e-11,5.39338131753716e-11,7.652018146295484e-11,1.2303737257392814e-09,5.75281457140218e-11,5.906520217817882e-11,1.4678929201557752e-08,2.62276930925128e-08,1.389384107183302e-08,1.1576636204038033e-08,1.3469742085565318e-08,1.2450344085414004e-08,1.4349696797638175e-08,2.9667936137144545e-08,1.362467664573801e-08,1.279429039600317e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.477977405776988e-07,1.7661347673864509e-06,8.070802657564765e-07,6.934053231007702e-07,7.718520948086934e-07,7.186434165999054e-07,8.320319330087503e-07,2.0509677155281532e-06,7.78394080439287e-07,7.380177808150241e-07,1.0
1.479666633132811e-11,1.8312830340321165e-10,1.9592917960674397e-11,1.649391769545389e-11,7.542273764161122e-12,5.313636528964102e-12,1.580301501767749e-11,2.5156298305872794e-10,1.276047568883868e-11,1.1071397788055605e-11,3.3701088837179484e-10,3.150295240814292e-09,3.593087447062015e-10,3.75684059489586e-10,8.417520385401608e-10,2.9011583536991086e-10,3.1283769798496034e-10,3.6977848580264767e-09,1.0743014980379255e-09,4.163074277534913e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5937499804836793e-08,2.566260407573461e-07,3.436324668421257e-08,3.370290893780418e-08,5.6984824515119574e-08,2.3047426123458746e-08,2.4507075190734723e-08,3.1551175928548893e-07,6.972838283677322e-08,3.037619634982234e-08,1.0
1.5675648741773758e-11,1.2129985033681313e-11,1.236208513420748e-11,9.135836050616187e-12,4.093828662720302e-12,3.2659722176223476e-12,1.6731260505360716e-11,1.804353579723576e-11,1.3209895622000898e-11,1.1525507962298933e-11,3.0433233809539536e-11,2.360649483378738e-11,6.014928287707074e-11,5.0894083691838655e-11,2.4065897767991876e-11,1.836141459144569e-11,3.1567978950331226e-11,3.0813968847015154e-11,4.170277923004526e-11,3.443785999034491e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.847628491592367e-09,4.878299530405193e-09,7.364216613750455e-09,6.3652774584252615e-09,2.9737276513040745e-09,2.3655714360212103e-09,5.072750351155391e-09,6.765562303204715e-09,5.5863606476916925e-09,4.754992895804053e-09,1.0
1.872534387608767e-11,1.0582831561826072e-10,1.6428715092543125e-11,2.926759522979925e-11,5.730974531520134e-12,9.4007470015535e-12,1.980643792588745e-11,1.6360238198039822e-10,1.4422031110597402e-11,1.5222228980092264e-11,5.987054284380111e-11,3.249948267442915e-09,1.951714940225872e-10,2.9116174137616136e-10,7.903714911048377e-11,1.391969043970041e-10,6.500965391759281e-11,4.83826288207437e-09,5.112387703511442e-11,5.842880025438478e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.460906619019728e-09,2.511054798004923e-07,1.907165796467123e-08,2.900763224304614e-08,7.915402135086437e-09,1.382441385675576e-08,7.972750644091413e-09,3.683141405836813e-07,6.450064434998915e-09,7.365037820200857e-09,1.0
1.7054556087418737e-11,1.2495979434938493e-10,1.8473881701477807e-11,3.215442822970483e-11,6.78632188060522e-12,8.892954659792e-12,1.8128339188870567e-11,1.893321135703054e-10,1.4110915119184828e-11,1.445345292512711e-11,5.788034481818158e-11,3.647807751382306e-09,2.0963476375634916e-10,3.5552816696189256e-10,8.550398075105116e-11,1.2388642752670065e-10,6.250688498585206e-11,5.4537972370242935e-09,4.461447887001335e-11,6.92689795421219e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.624162362639901e-09,3.1508783767968405e-07,2.2212708889625044e-08,3.499866559723106e-08,9.31194148942705e-09,1.3788312601785616e-08,8.195975117096061e-09,4.636462796227664e-07,6.0497609656245785e-09,8.218496271510297e-09,1.0
1.415975056070487e-11,5.925013175804965e-11,1.634094587297646e-11,1.2177917312354214e-11,5.86249490120566e-12,3.994231018463977e-12,1.5234776246160743e-11,8.917829713492519e-11,1.3318422943328916e-11,1.1614362267047278e-11,4.218160672601997e-11,1.6176620510441247e-09,1.293501255448003e-10,1.2022652902205205e-10,5.1899793848745405e-11,3.2790329862067944e-11,4.451096974230034e-11,2.4086236780553134e-09,4.418242966747594e-11,4.37461147646324e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.512298452766488e-09,1.1437761250401457e-07,1.290617756408519e-08,1.1934100343052822e-08,5.312960082220349e-09,3.6532691482719927e-09,5.8235705042936416e-09,1.6775537447538392e-07,5.76369191612458e-09,5.459244765401843e-09,1.0
1.5728477582686784e-11,1.1490970864246033e-11,1.4542019202370388e-11,1.0181612021190164e-11,5.043164157665255e-12,3.4622019423758026e-12,1.684621118346094e-11,1.7565518281862693e-11,1.4713403611996313e-11,1.1086521517190754e-11,3.0733586806372777e-11,2.2271854866268427e-11,7.079455644434099e-11,4.512698620916741e-11,2.6185183841986118e-11,1.617036177327573e-11,3.202302645197707e-11,2.965076451991068e-11,4.150701275343757e-11,2.645320780300257e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.653677145941888e-09,3.6459859581002936e-09,8.479865762441413e-09,5.915408092217121e-09,3.3166324586090314e-09,2.187504104606443e-09,4.878927006118354e-09,5.074735159220632e-09,5.716458369014608e-09,3.9616663955968205e-09,1.0
